1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
47.18070210379033,45.7003411986271,45.14108065998245,44.591724452164236,44.648203797112544,44.398378057479064,44.473125963724904,44.48035536210952,44.44642823481472,43.44953179798053,39.46197298141635,39.30920498376131,45.19626556471,51.11520735029194,52.927976002250446,48.644316979320585,38.07019200705559,36.05407945283037,40.32038015175391,41.366370696510735,41.48329749557133,41.09472837921986,39.86728753773077,39.85224090728239,44.00894200145499,46.00295371337796,46.278009634085095,45.77469429433257,58.80631052359956,69.02205624550596
52.81929789620967,54.2996588013729,54.85891934001755,55.40827554783577,55.351796202887456,55.60162194252094,55.526874036275096,55.51964463789049,55.55357176518528,56.55046820201947,60.53802701858365,60.69079501623871,54.80373443529001,48.88479264970806,47.07202399774955,51.35568302067941,61.929807992944404,63.945920547169635,59.67961984824608,58.633629303489265,58.51670250442867,58.905271620780134,60.13271246226923,60.1477590927176,55.99105799854501,53.99704628662203,53.7219903659149,54.22530570566744,41.19368947640044,30.97794375449403
0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4
0,31,16,122,-71,325,170,367,463,918,1479,1181,689,813,890,1486,2779,2215,2543,2805,2887,2975,3477,3842,3361,3450,3318,3101,754,752
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,-1,-1
